prior_intl_author
"Llosa, Matxalen"
"Ferrer Riba, Josep"
"Simón, Christina"
"Rada, Teresa"
"Schlie, Erik"
"Iniguez de Onzono, Santiago"
"Castañeira Valente, Mariano"
"Perez-Miranda, Juan"
"Kolly, Anna"
"Willa, Pierre"
"Forsyth, Rhys"
"Lin, Charles"
"Unyapho, Panadda"
"Inan, Umran"
"Magdalino, Paul"
"Tansever, M. Baris"
"Majewsky, Isabell"
"Rhodes, Robin"
"Halliwell, Martin"
"O'Loughlin, Jane"
"Valliani, Aziz"
"Bang, Ngac An"
"Son, Le Thanh"
"Van Noi, Nguyen"
"Duc, Do Minh"
"Netto, Carlos"
"Lucion, Aldo"
"Nardi, Maria"
"de Mesquita Neto, Euclides"
"Knobel, Marcelo"
"Schulz, Peter"
"de Fátima Sonati, Maria"
"Tessler, Leandro"
"Aidar, Tirza"
"Costa, Fabio"
"Ferreira Costa, Fernando"
"Pilli, Ronaldo"
"de Brito Meyer, Rosa"
"Bergmann, José"
"de Souza Filho, Danilo"
"Sousa, Linda"
"Lau, Andrew"
"Leung, Albert"
"McNaught, Carmel"
"Cheung, Gordon"
"Cheng, Jack"
"Sung, Joseph"
"Sung, Joseph"
"Wong, Kam-Bo"
"Hui, Michael"
"Lai, Pan-chiu"
"Ann, Heng"
"Fan, Shally"
"Ng, Will"
"Sun, Samuel"
"Ge, Wei"
"Hsiung, Ping-chen"
"Wong, Wing"
"He, Chengzhou"
"Cheng, Aimin"
"Gao, Chao"
"Cong, Cong"
"Zhehua, Dai"
"Chengfeng, Huang"
"Zhang, Rong"
"Cranley, Wm"
"Dai, David"
"Yang, Liuyan"
"Bin, Zhang"
"Zhou, Xian"
"Hong, Yinxing"
"Zhong, Yang"
"Li, Gongzhong"
"Gao, Shu"
"Zhang, Liwei"
"Zhe, Cui"
"Wang, Enge"
"He, Canfei"
"Xia, Hongwei"
"Hu, Jianxin"
"Li, Yansong"
"Min, Hu"
"Shao, Min"
"Houshower, Nick"
"Yiming, Wang"
"Shi hui, Daisy"
"Zengzhi, Shi"
"Chen, Shiyi"
"Shuo, Wang"
"Xu, Chongren"
"Yan, Jun"
"Su, Yanjie"
"Zhipan, Wu"
"Wang, Shouheng"
"Guoqing, Duan"
"Li, Bo-Geng"
"E, Cai"
"Chen, Hang"
"Chen, Wei"
"Chen, Yue"
"Wu, Ping"
"Gao, Chaochao"
"Zhang, Guangxin"
"Huang, He"
"Zhao, Hongqin"
"Quinming, He"
"Zhonghe, Jin"
"Cheng, Jun"
"Jin, Jun"
"Li, Haoran"
"Xu, Liu"
"Lou, Xiaoe"
"Lu, Guodong"
"Luo, Jian"
"Li, Min"
"Ping, Zheng"
"Qu, Shaoxing"
"Tang, Xiao-Wu"
"Tian, Jingkui"
"Liu, Weiping"
"Zhang, Weiwen"
"Xu, Wen"
"Wu, Xiaobo"
"Xue, Fei"
"Lin, Xianyong"
"Yang, Wei"
"Yan, Jianhua"
"Ying, Chen"
"Du, Yiping"
"Yuan, Zhu"
"Yuan, Qing"
"Zhang, Meifeng"
"Fan, Jieping"
